## 
## THIS LEXICON: Adapted from MPQA Subjectivity Lexicon
## Source Lexicon URL: http://mpqa.cs.pitt.edu/lexicons/subj_lexicon/
## Source Lexicon Construction: manual, semi-automatic
##
## Other Notes:  
##    The subjectivity (reliability) scores are just numeric guestimates 
##    of the strongsubj and weaksubj labels used in the original lexicon.
##          strongsubj -> reliability=1
##          weaksubj -> reliability=0.25
##
## Line Format: WORD	POLARITY	SUBJECTIVITY_SCORE
deafest	negative	0.25
deal	positive	0.25
deals	positive	0.25
dear	positive	1
dearer	positive	1
dearest	positive	1
dearth	negative	1
dearths	negative	1
death	negative	0.25
deaths	negative	0.25
debacle	negative	1
debacles	negative	1
debase	negative	1
debased	negative	1
debasement	negative	1
debasements	negative	1
debaser	negative	1
debasers	negative	1
debases	negative	1
debasing	negative	1
debatable	negative	1
debate	negative	1
debated	negative	1
debates	negative	1
debating	negative	1
debauch	negative	1
debauched	negative	1
debaucher	negative	1
debaucheries	negative	1
debauchers	negative	1
debauchery	negative	1
debauches	negative	1
debauching	negative	1
debilitate	negative	0.25
debilitated	negative	0.25
debilitates	negative	0.25
debilitating	negative	0.25
debilities	negative	0.25
debility	negative	0.25
decadence	negative	1
decadences	negative	1
decadent	negative	1
decay	negative	1
decayed	negative	1
decaying	negative	1
decays	negative	1
deceit	negative	1
deceitful	negative	1
deceitfully	negative	1
deceitfulness	negative	1
deceits	negative	1
deceive	negative	1
deceived	negative	1
deceiver	negative	1
deceivers	negative	1
deceives	negative	1
deceiving	negative	1
decencies	positive	0.25
decency	positive	0.25
decent	positive	0.25
deception	negative	1
deceptions	negative	1
deceptive	negative	1
deceptively	negative	1
decisive	positive	0.25
decisiveness	positive	0.25
declaim	negative	1
declaimed	negative	1
declaiming	negative	1
declaims	negative	1
decline	negative	0.25
declined	negative	0.25
declines	negative	0.25
declining	negative	0.25
decrease	negative	0.25
decreased	negative	0.25
decreases	negative	0.25
decreasing	negative	0.25
decrement	negative	0.25
decrements	negative	0.25
decrepit	negative	1
decrepitude	negative	1
decrepitudes	negative	1
decried	negative	1
decries	negative	1
decry	negative	1
decrying	negative	1
dedicated	positive	1
deepening	negative	1
deepenings	negative	1
deeps	negative	0.25
defamation	negative	1
defamations	negative	1
defamatory	negative	1
defame	negative	1
defamed	negative	1
defames	negative	1
defaming	negative	1
defeat	negative	0.25
defeated	negative	0.25
defeating	negative	0.25
defeats	negative	0.25
defect	negative	0.25
defective	negative	1
defects	negative	0.25
defend	positive	0.25
defended	positive	0.25
defender	positive	1
defenders	positive	1
defending	positive	0.25
defends	positive	0.25
defense	positive	0.25
defenses	positive	0.25
defensive	negative	0.25
deference	positive	1
deferences	positive	1
defiance	negative	1
defiances	negative	1
defiant	negative	1
defiantly	negative	1
deficiencies	negative	0.25
deficiency	negative	0.25
deficient	negative	0.25
defied	negative	1
defies	negative	1
defile	negative	1
defiled	negative	1
defiler	negative	1
defilers	negative	1
defiles	negative	1
defiling	negative	1
definite	positive	0.25
definitely	positive	0.25
definitive	positive	0.25
definitively	positive	1
deflationary	positive	0.25
deform	negative	0.25
deformed	negative	0.25
deforming	negative	0.25
deforms	negative	0.25
defraud	negative	1
defrauded	negative	1
defrauding	negative	1
defrauds	negative	1
deft	positive	1
defter	positive	1
deftest	positive	1
defunct	negative	1
defy	negative	1
defying	negative	1
degenerate	negative	1
degenerated	negative	1
degenerately	negative	1
degenerates	negative	1
degenerating	negative	1
degeneration	negative	1
degenerations	negative	1
degradation	negative	1
degradations	negative	1
degrade	negative	1
degraded	negative	1
degrades	negative	1
degrading	negative	1
degradingly	negative	1
dehumanization	negative	1
dehumanizations	negative	1
dehumanize	negative	1
dehumanized	negative	1
dehumanizes	negative	1
dehumanizing	negative	1
deign	negative	1
deigned	negative	1
deigning	negative	1
deigns	negative	1
deject	negative	1
dejected	negative	1
dejectedly	negative	1
dejecting	negative	1
dejection	negative	1
dejections	negative	1
dejects	negative	1
delectable	positive	1
delicacies	positive	0.25
delicacy	positive	0.25
delicate	positive	0.25
delicious	positive	1
delight	positive	1
delighted	positive	1
delightful	positive	1
delightfully	positive	1
delightfulness	positive	1
delighting	positive	1
delights	positive	1
delinquencies	negative	0.25
delinquency	negative	0.25
delinquent	negative	0.25
deliria	negative	1
delirious	negative	1
delirium	negative	1
deliriums	negative	1
delude	negative	1
deluded	negative	1
deludes	negative	1
deluding	negative	1
deluge	negative	0.25
deluges	negative	0.25
delusion	negative	1
delusional	negative	1
delusions	negative	1
demean	negative	1
demeaned	negative	1
demeaning	negative	1
demeans	negative	1
demise	negative	1
demises	negative	1
democratic	positive	0.25
demolish	negative	0.25
demolished	negative	0.25
demolisher	negative	0.25
demolishers	negative	0.25
demolishes	negative	0.25
demolishing	negative	0.25
demon	negative	1
demonic	negative	1
demonize	negative	1
demonized	negative	1
demonizes	negative	1
demonizing	negative	1
demons	negative	1
demoralize	negative	1
demoralized	negative	1
demoralizes	negative	1
demoralizing	negative	1
demoralizingly	negative	1
demystified	positive	1
demystifies	positive	1
demystify	positive	1
demystifying	positive	1
denial	negative	1
denials	negative	1
denied	negative	1
denies	negative	1
denigrate	negative	1
denigrated	negative	1
denigrates	negative	1
denigrating	negative	1
denounce	negative	1
denounced	negative	1
denounces	negative	1
denouncing	negative	1
denunciate	negative	1
denunciated	negative	1
denunciates	negative	1
denunciating	negative	1
denunciation	negative	1
denunciations	negative	1
deny	negative	1
denying	negative	1
dependable	positive	0.25
deplete	negative	0.25
depleted	negative	0.25
depletes	negative	0.25
depleting	negative	0.25
deplorable	negative	1
deplorably	negative	1
deplore	negative	1
deplored	negative	1
deplores	negative	1
deploring	negative	1
deploringly	negative	1
deprave	negative	1
depraved	negative	1
depravedly	negative	1
depraves	negative	1
depraving	negative	1
deprecate	negative	1
deprecated	negative	1
deprecates	negative	1
deprecating	negative	1
depress	negative	1
depressed	negative	1
depresses	negative	1
depressing	negative	1
depressingly	negative	1
depression	negative	0.25
depressions	negative	0.25
deprive	negative	1
deprived	negative	1
deprives	negative	1
depriving	negative	1
deride	negative	1
derided	negative	1
derides	negative	1
deriding	negative	1
derision	negative	1
derisions	negative	1
derisive	negative	1
derisively	negative	1
derisiveness	negative	1
derogatory	negative	1
desecrate	negative	1
desecrated	negative	1
desecrates	negative	1
desecrating	negative	1
desert	negative	1
deserted	negative	1
deserting	negative	1
desertion	negative	1
desertions	negative	1
deserts	negative	1
deserve	positive	1
deserved	positive	1
deservedly	positive	1
deserves	positive	1
deserving	positive	1
desiccate	negative	1
desiccated	negative	1
desiccates	negative	1
desiccating	negative	1
desirable	positive	1
desire	positive	1
desired	positive	1
desires	positive	1
desiring	positive	1
desirous	positive	1
desolate	negative	1
desolately	negative	1
desolation	negative	1
desolations	negative	1
despair	negative	1
despaired	negative	1
despairing	negative	1
despairingly	negative	1
despairs	negative	1
desperate	negative	1
desperately	negative	1
desperation	negative	1
desperations	negative	1
despicable	negative	1
despicably	negative	1
despise	negative	1
despised	negative	1
despises	negative	1
despising	negative	1
despite	negative	1
despites	negative	1
despoil	negative	1
despoiled	negative	1
despoiler	negative	1
despoilers	negative	1
despoiling	negative	1
despoils	negative	1
despondence	negative	1
despondences	negative	1
despondencies	negative	1
despondency	negative	1
despondent	negative	1
despondently	negative	1
despot	negative	1
despotic	negative	1
despotism	negative	1
despotisms	negative	1
despots	negative	1
destabilisation	negative	1
destabilisations	negative	1
destine	positive	0.25
destined	positive	0.25
destines	positive	0.25
destinies	positive	1
destining	positive	0.25
destitute	negative	1
destitution	negative	1
destitutions	negative	1
destroy	negative	0.25
destroyed	negative	0.25
destroyer	negative	1
destroyers	negative	1
destroying	negative	0.25
destroys	negative	0.25
destruction	negative	0.25
destructions	negative	0.25
destructive	negative	1
desultory	negative	1
deter	negative	0.25
deteriorate	negative	0.25
deteriorated	negative	0.25
deteriorates	negative	0.25
deteriorating	negative	0.25
deterioration	negative	0.25
deteriorations	negative	0.25
determination	positive	1
determinations	positive	1
deterred	negative	0.25
deterrent	negative	0.25
deterrents	negative	0.25
deterring	negative	0.25
deters	negative	0.25
detest	negative	1
detestable	negative	1
detestably	negative	1
detested	negative	1
detesting	negative	1
detests	negative	1
detract	negative	0.25
detracted	negative	0.25
detracting	negative	0.25
detraction	negative	0.25
detractions	negative	0.25
detracts	negative	0.25
detriment	negative	1
detrimental	negative	1
detriments	negative	1
devastate	negative	1
devastated	negative	1
devastates	negative	1
devastating	negative	1
devastatingly	negative	1
devastation	negative	0.25
devastations	negative	0.25
deviate	negative	0.25
deviated	negative	0.25
deviates	negative	0.25
deviating	negative	0.25
deviation	negative	0.25
deviations	negative	0.25
devil	negative	1
devilish	negative	1
devilishly	negative	1
devilment	negative	1
devilments	negative	1
devilries	negative	1
devilry	negative	1
devils	negative	1
devious	negative	1
deviously	negative	1
deviousness	negative	1
devoid	negative	1
devote	positive	1
devoted	positive	1
devotee	positive	1
devotees	positive	1
devotes	positive	1
devoting	positive	1
devotion	positive	1
devotions	positive	1
devout	positive	0.25
devouter	positive	0.25
devoutest	positive	0.25
dexterities	positive	0.25
dexterity	positive	0.25
dexterous	positive	1
dexterously	positive	1
dextrous	positive	1
diabolic	negative	1
diabolical	negative	1
diabolically	negative	1
diametrically	negative	1
diatribe	negative	1
diatribes	negative	1
dictator	negative	0.25
dictatorial	negative	0.25
dictators	negative	0.25
die	negative	0.25
died	negative	0.25
dies	negative	0.25
differ	negative	0.25
differed	negative	0.25
differing	negative	0.25
differs	negative	0.25
difficult	negative	0.25
difficulties	negative	0.25
difficulty	negative	1
diffidence	negative	1
diffidences	negative	1
dig	positive	0.25
digging	positive	0.25
dignified	positive	1
dignifies	positive	0.25
dignify	positive	0.25
dignifying	positive	0.25
dignities	positive	1
dignity	positive	1
digress	negative	1
digressed	negative	1
digresses	negative	1
digressing	negative	1
digs	negative	0.25
dilapidated	negative	1
dilemma	negative	0.25
dilemmas	negative	0.25
diligence	positive	0.25
diligences	positive	0.25
diligent	positive	0.25
diligently	positive	0.25
dilly-dallied	negative	1
dilly-dallies	negative	1
dilly-dally	negative	1
dilly-dallying	negative	1
dim	negative	1
diminish	negative	0.25
diminished	negative	0.25
diminishes	negative	0.25
diminishing	negative	0.25
dimmed	negative	0.25
dimmer	negative	1
dimmest	negative	1
dimming	negative	0.25
dims	negative	0.25
din	negative	0.25
dinkier	negative	0.25
dinkiest	negative	0.25
dinky	negative	0.25
dins	negative	0.25
diplomatic	positive	0.25
dire	negative	1
direly	negative	1
direness	negative	1
direr	negative	1
direst	negative	1
dirt	negative	0.25
dirtied	negative	0.25
dirtier	negative	0.25
dirties	negative	0.25
dirtiest	negative	0.25
dirts	negative	0.25
dirty	negative	0.25
dirtying	negative	0.25
disable	negative	0.25
disabled	negative	0.25
disables	negative	0.25
disabling	negative	0.25
disaccord	negative	1
disaccords	negative	1
disadvantage	negative	1
disadvantaged	negative	0.25
disadvantageous	negative	1
disadvantages	negative	1
disaffect	negative	1
disaffected	negative	1
disaffecting	negative	1
disaffects	negative	1
disaffirm	negative	1
disaffirmed	negative	1
disaffirming	negative	1
disaffirms	negative	1
disagree	negative	1
disagreeable	negative	1
disagreeably	negative	1
disagreed	negative	1
disagreeing	negative	1
disagreement	negative	1
disagreements	negative	1
disagrees	negative	1
disallow	negative	1
disallowed	negative	1
disallowing	negative	1
disallows	negative	1
disappoint	negative	1
disappointed	negative	1
disappointing	negative	1
disappointingly	negative	1
disappointment	negative	1
disappointments	negative	1
disappoints	negative	1
disapprobation	negative	1
disapprobations	negative	1
disapproval	negative	1
disapprovals	negative	1
disapprove	negative	1
disapproved	negative	1
disapproves	negative	1
disapproving	negative	1
disarm	negative	0.25
disarmed	negative	0.25
disarming	negative	0.25
disarms	negative	0.25
disarray	negative	1
disarrayed	negative	1
disarrays	negative	1
disaster	negative	1
disasters	negative	1
disastrous	negative	1
disastrously	negative	1
disavow	negative	1
disavowal	negative	1
disavowals	negative	1
disavowed	negative	1
disavowing	negative	1
disavows	negative	1
disbelief	negative	1
disbeliefs	negative	1
disbelieve	negative	1
disbelieved	negative	1
disbeliever	negative	1
disbelievers	negative	1
disbelieves	negative	1
disbelieving	negative	1
discern	positive	1
discerned	positive	1
discerns	positive	1
disclaim	negative	1
disclaimed	negative	1
disclaiming	negative	1
disclaims	negative	1
discombobulate	negative	1
discombobulated	negative	1
discombobulates	negative	1
discombobulating	negative	1
discomfit	negative	1
discomfited	negative	1
discomfiting	negative	1
discomfititure	negative	1
discomfits	negative	1
discomfiture	negative	1
discomfitures	negative	1
discomfort	negative	0.25
discomforts	negative	0.25
discompose	negative	0.25
discomposed	negative	0.25
discomposes	negative	0.25
discomposing	negative	0.25
disconcert	negative	1
disconcerted	negative	1
disconcerting	negative	1
disconcertingly	negative	1
disconcerts	negative	1
disconsolate	negative	1
disconsolately	negative	1
disconsolation	negative	1
disconsolations	negative	1
discontent	negative	1
discontented	negative	1
discontentedly	negative	1
discontents	negative	1
discontinuities	negative	1
discontinuity	negative	1
discord	negative	1
discordance	negative	1
discordances	negative	1
discordant	negative	1
discords	negative	1
discountenance	negative	1
discountenances	negative	1
discourage	negative	1
discouraged	negative	1
discouragement	negative	1
discouragements	negative	1
discourages	negative	1
discouraging	negative	1
discouragingly	negative	1
discourteous	negative	1
discourteously	negative	1
discredit	negative	1
discredited	negative	1
discrediting	negative	1
discredits	negative	1
discreet	positive	0.25
discrepant	negative	0.25
discretion	positive	0.25
discretions	positive	0.25
discriminate	negative	0.25
discriminated	negative	0.25
discriminates	negative	0.25
discriminating	positive	0.25
discriminatingly	positive	0.25
discrimination	negative	0.25
discriminations	negative	0.25
discriminatory	negative	1
disdain	negative	1
disdained	negative	1
disdainful	negative	1
disdainfully	negative	1
disdaining	negative	1
disdains	negative	1
disease	negative	0.25
diseased	negative	0.25
diseases	negative	0.25
disfavor	negative	1
disfavored	negative	1
disfavoring	negative	1
disfavors	negative	1
disgrace	negative	1
disgraced	negative	1
disgraceful	negative	1
disgracefully	negative	1
disgraces	negative	1
disgracing	negative	1
disgruntle	negative	1
disgruntled	negative	1
disgruntles	negative	1
disgruntling	negative	1
disgust	negative	1
disgusted	negative	1
disgustedly	negative	1
disgustful	negative	1
disgustfully	negative	1
disgusting	negative	1
disgustingly	negative	1
disgusts	negative	1
dishearten	negative	1
disheartened	negative	1
disheartening	negative	1
dishearteningly	negative	1
disheartens	negative	1
dishonest	negative	1
dishonesties	negative	1
dishonestly	negative	1
dishonesty	negative	1
dishonor	negative	1
dishonorable	negative	1
dishonorablely	negative	1
dishonorably	negative	1
dishonored	negative	1
dishonoring	negative	1
dishonors	negative	1
disillusion	negative	1
disillusioned	negative	1
disillusioning	negative	1
disillusions	negative	1
disinclination	negative	1
disinclinations	negative	1
disincline	negative	1
disinclined	negative	1
disinclines	negative	1
disinclining	negative	1
disingenuous	negative	1
disingenuously	negative	1
disintegrate	negative	0.25
disintegrated	negative	0.25
disintegrates	negative	0.25
disintegrating	negative	0.25
disintegration	negative	0.25
disintegrations	negative	0.25
disinterest	negative	1
disinterested	negative	0.25
disinterests	negative	1
dislike	negative	1
disliked	negative	1
dislikes	negative	1
disliking	negative	1
dislocated	negative	0.25
disloyal	negative	1
disloyalties	negative	1
disloyalty	negative	1
dismal	negative	1
dismally	negative	1
dismalness	negative	1
dismay	negative	1
dismayed	negative	1
dismaying	negative	1
dismayingly	negative	1
dismays	negative	1
dismissive	negative	1
dismissively	negative	1
disobedience	negative	1
disobediences	negative	1
disobedient	negative	1
disobey	negative	1
disobeyed	negative	1
disobeying	negative	1
disobeys	negative	1
disorder	negative	0.25
disordered	negative	0.25
disordering	negative	0.25
disorderly	negative	0.25
disorders	negative	0.25
disorganized	negative	1
disorient	negative	1
disoriented	negative	1
disorienting	negative	1
disorients	negative	1
disown	negative	1
disowned	negative	1
disowning	negative	1
disowns	negative	1
disparage	negative	1
disparaged	negative	1
disparages	negative	1
disparaging	negative	1
disparagingly	negative	1
dispensable	negative	0.25
dispirit	negative	1
dispirited	negative	1
dispiritedly	negative	1
dispiriting	negative	1
dispirits	negative	1
displace	negative	0.25
displaced	negative	0.25
displaces	negative	0.25
displacing	negative	0.25
displease	negative	1
displeased	negative	1
displeases	negative	1
displeasing	negative	1
displeasure	negative	1
displeasures	negative	1
disproportionate	negative	0.25
disprove	negative	1
disproved	negative	1
disproves	negative	1
disproving	negative	1
disputable	negative	1
dispute	negative	1
disputed	negative	1
disputes	negative	1
disputing	negative	1
disquiet	negative	1
disquieted	negative	1
disquieting	negative	1
disquietingly	negative	1
disquiets	negative	1
disquietude	negative	1
disquietudes	negative	1
disregard	negative	1
disregarded	negative	1
disregardful	negative	1
disregards	negative	1
disreputable	negative	1
disrepute	negative	1
disreputes	negative	1
disrespect	negative	1
disrespectabilities	negative	1
disrespectability	negative	1
disrespectable	negative	1
disrespectablity	negative	1
disrespected	negative	1
disrespectful	negative	1
disrespectfully	negative	1
disrespectfulness	negative	1
disrespecting	negative	1
disrespects	negative	1
disrupt	negative	1
disrupted	negative	1
disrupting	negative	1
disruption	negative	1
disruptions	negative	1
disruptive	negative	1
disrupts	negative	1
dissatisfaction	negative	1
dissatisfactions	negative	1
dissatisfactory	negative	1
dissatisfied	negative	1
dissatisfies	negative	1
dissatisfy	negative	1
dissatisfying	negative	1
dissemble	negative	1
dissembled	negative	1
dissembler	negative	1
dissemblers	negative	1
dissembles	negative	1
dissembling	negative	1
dissension	negative	1
dissensions	negative	1
dissent	negative	1
dissenter	negative	1
dissenters	negative	1
dissenting	negative	1
dissention	negative	1
dissents	negative	1
disservice	negative	1
disservices	negative	1
dissidence	negative	1
dissidences	negative	1
dissident	negative	1
dissidents	negative	1
dissocial	negative	1
dissolute	negative	1
dissolution	negative	0.25
dissolutions	negative	0.25
dissonance	negative	1
dissonances	negative	1
dissonant	negative	1
dissonantly	negative	1
dissuade	negative	1
dissuaded	negative	1
dissuades	negative	1
dissuading	negative	1
dissuasive	negative	1
distaste	negative	1
distasteful	negative	1
distastefully	negative	1
distastes	negative	1
distinct	positive	0.25
distinction	positive	0.25
distinctions	positive	0.25
distinctive	positive	0.25
distinguish	positive	0.25
distinguished	positive	1
distinguishes	positive	0.25
distinguishing	positive	0.25
distort	negative	1
distorted	negative	1
distorting	negative	1
distortion	negative	1
distortions	negative	1
distorts	negative	1
distract	negative	0.25
distracted	negative	0.25
distracting	negative	1
distraction	negative	1
distractions	negative	1
distracts	negative	0.25
distraught	negative	1
distraughtly	negative	1
distraughtness	negative	1
distress	negative	1
distressed	negative	1
distresses	negative	1
distressing	negative	1
distressingly	negative	1
distrust	negative	1
distrusted	negative	1
distrustful	negative	1
distrusting	negative	1
distrusts	negative	1
disturb	negative	1
disturbed	negative	1
disturbed-let	negative	1
disturbing	negative	1
disturbingly	negative	1
disturbs	negative	1
disunities	negative	1
disunity	negative	1
disvalue	negative	1
disvalues	negative	1
divergent	negative	0.25
diversified	positive	0.25
divide	negative	0.25
divided	negative	0.25
divides	negative	0.25
dividing	negative	0.25
divine	positive	1
divined	positive	1
divinely	positive	1
diviner	positive	1
divines	positive	1
divinest	positive	1
divining	positive	1
division	negative	0.25
divisions	negative	0.25
divisive	negative	1
divisively	negative	1
divisiveness	negative	1
divorce	negative	0.25
divorced	negative	0.25
divorces	negative	0.25
divorcing	negative	0.25
dizzied	negative	1
dizzier	negative	1
dizzies	negative	1
dizziest	negative	1
dizzing	negative	1
dizzingly	negative	1
dizzy	negative	1
dizzying	negative	1
dizzyingly	negative	1
doddering	negative	1
dodge	positive	1
dodged	positive	1
dodges	positive	1
dodgey	negative	1
dodgier	negative	1
dodgiest	negative	1
dodging	positive	1
dodgy	negative	1
dogged	negative	1
doggedly	negative	1
dogmatic	negative	1
doldrum	negative	1
doldrums	negative	1
dominance	negative	0.25
dominances	negative	0.25
dominate	negative	0.25
dominated	negative	0.25
dominates	negative	0.25
dominating	negative	0.25
domination	negative	1
dominations	negative	1
domineer	negative	1
domineered	negative	1
domineering	negative	1
domineers	negative	1
doom	negative	1
doomed	negative	1
dooming	negative	1
dooms	negative	1
doomsday	negative	1
doomsdays	negative	1
dope	negative	0.25
dopes	negative	0.25
dote	positive	1
doted	positive	1
dotes	positive	1
doting	positive	1
dotingly	positive	1
doubt	negative	1
doubted	negative	1
doubtful	negative	1
doubtfully	negative	1
doubting	negative	1
doubtless	positive	1
doubts	negative	1
down	negative	0.25
downbeat	negative	1
downcast	negative	1
downer	negative	1
downers	negative	1
downfall	negative	1
downfallen	negative	1
downfalls	negative	1
downgrade	negative	0.25
downgraded	negative	0.25
downgrades	negative	0.25
downgrading	negative	0.25
downhearted	negative	1
downheartedly	negative	1
downs	negative	0.25
downside	negative	1
downsides	negative	1
drab	negative	1
drabber	negative	1
drabbest	negative	1
draconian	negative	1
draconic	negative	1
dragon	negative	1
dragons	negative	1
dragoon	negative	1
dragooned	negative	1
dragooning	negative	1
dragoons	negative	1
drain	negative	1
drained	negative	1
draining	negative	1
drains	negative	1
drama	negative	1
dramas	negative	1
drastic	negative	1
drastically	negative	1
dread	negative	1
dreaded	negative	1
dreadful	negative	1
dreadfully	negative	1
dreadfulness	negative	1
dreading	negative	1
dreads	negative	1
dream	positive	0.25
dreamed	positive	0.25
dreamier	positive	0.25
dreamiest	positive	0.25
dreaming	positive	0.25
dreamland	positive	1
dreamlands	positive	1
dreams	positive	0.25
dreamt	positive	0.25
dreamy	positive	0.25
drearier	negative	1
dreariest	negative	1
dreary	negative	1
drive	positive	0.25
driven	positive	0.25
drives	positive	0.25
drone	negative	1
drones	negative	1
droop	negative	0.25
drooped	negative	0.25
drooping	negative	0.25
droops	negative	0.25
drought	negative	0.25
droughts	negative	0.25
drown	negative	0.25
drowned	negative	0.25
drowning	negative	0.25
drowns	negative	0.25
drunk	negative	1
drunkard	negative	1
drunkards	negative	1
drunken	negative	1
dubious	negative	1
dubiously	negative	1
dubitable	negative	1
dud	negative	0.25
duds	negative	0.25
dug	positive	0.25
dull	negative	0.25
dullard	negative	1
dullards	negative	1
duller	negative	0.25
dullest	negative	0.25
dumb	negative	1
dumber	negative	1
dumbest	negative	1
dumbfound	negative	1
dumbfounded	negative	1
dumbfounding	negative	1
dumbfounds	negative	1
dummies	negative	1
dummy	negative	1
dump	negative	0.25
dumps	negative	0.25
dunce	negative	1
dunces	negative	1
dungeon	negative	1
dungeons	negative	1
dupe	negative	1
duped	negative	1
dupes	negative	1
duping	negative	1
durabilities	positive	0.25
durability	positive	0.25
durable	positive	0.25
dustier	negative	0.25
dustiest	negative	0.25
dusty	negative	0.25
dwindle	negative	0.25
dwindled	negative	0.25
dwindles	negative	0.25
dwindling	negative	0.25
dying	negative	0.25
dyings	negative	0.25
dynamic	positive	0.25
eager	positive	1
eagerly	positive	1
eagerness	positive	1
earnest	positive	1
earnestly	positive	1
earnestness	positive	1
earsplitting	negative	1
ease	positive	0.25
eased	positive	0.25
eases	positive	0.25
easier	positive	0.25
easiest	positive	0.25
easily	positive	0.25
easiness	positive	0.25
easing	positive	0.25
easy	positive	0.25
easygoing	positive	1
ebullience	positive	1
ebulliences	positive	1
ebullient	positive	1
ebulliently	positive	1
eccentric	negative	0.25
eccentricities	negative	0.25
eccentricity	negative	0.25
eclectic	positive	1
economical	positive	0.25
ecstasies	positive	1
ecstasy	positive	1
ecstatic	positive	1
ecstatically	positive	1
edgier	negative	1
edgiest	negative	1
edgy	negative	1
edified	positive	1
edifies	positive	1
edify	positive	1
edifying	positive	1
educable	positive	0.25
educated	positive	0.25
educational	positive	0.25
effective	positive	0.25
effectiveness	positive	0.25
effectual	positive	0.25
efficacious	positive	0.25
efficiencies	positive	0.25
efficiency	positive	0.25
efficient	positive	0.25
effigies	negative	1
effigy	negative	1
effortless	positive	1
effortlessly	positive	1
effronteries	negative	1
effrontery	negative	1
effusion	positive	1
effusions	positive	1
effusive	positive	1
effusively	positive	1
effusiveness	positive	1
egalitarian	positive	0.25
ego	negative	1
egocentric	negative	1
egomania	negative	1
egomanias	negative	1
egos	negative	1
egotism	negative	1
egotisms	negative	1
egotistical	negative	1
egotistically	negative	1
egregious	negative	1
egregiously	negative	1
ejaculate	negative	1
ejaculated	negative	1
ejaculates	negative	1
ejaculating	negative	1
elan	positive	1
elans	positive	1
elate	positive	0.25
elated	positive	1
elatedly	positive	1
elates	positive	0.25
elating	positive	0.25
elation	positive	1
elations	positive	1
election-rigger	negative	1
election-riggers	negative	1
electrification	positive	1
electrifications	positive	1
electrified	positive	0.25
electrifies	positive	0.25
electrify	positive	0.25
electrifying	positive	0.25
elegance	positive	1
elegances	positive	1
elegant	positive	1
elegantly	positive	1
elevate	positive	0.25
elevated	positive	0.25
elevates	positive	0.25
elevating	positive	0.25
eligible	positive	0.25
eliminate	negative	0.25
eliminated	negative	0.25
eliminates	negative	0.25
eliminating	negative	0.25
elimination	negative	0.25
eliminations	negative	0.25
elite	positive	0.25
elites	positive	0.25
eloquence	positive	1
eloquences	positive	1
eloquent	positive	1
eloquently	positive	1
emaciate	negative	1
emaciated	negative	1
emaciates	negative	1
emaciating	negative	1
emancipate	positive	0.25
emancipated	positive	0.25
emancipates	positive	0.25
emancipating	positive	0.25
emasculate	negative	1
emasculated	negative	1
emasculates	negative	1
emasculating	negative	1
embarrass	negative	1
embarrassed	negative	1
embarrasses	negative	1
embarrassing	negative	1
embarrassingly	negative	1
embarrassment	negative	1
embarrassments	negative	1
embattled	negative	0.25
embellish	positive	1
embellished	positive	1
embellishes	positive	1
embellishing	positive	1
embolden	positive	0.25
emboldened	positive	0.25
emboldening	positive	0.25
emboldens	positive	0.25
embrace	positive	1
embraced	positive	1
embraces	positive	1
embracing	positive	1
embroil	negative	1
embroiled	negative	1
embroiling	negative	1
embroilment	negative	1
embroilments	negative	1
embroils	negative	1
eminence	positive	1
eminences	positive	1
eminent	positive	1
emotional	negative	1
empathies	negative	1
empathize	negative	1
empathized	negative	1
empathizes	negative	1
empathizing	negative	1
empathy	negative	1
emphatic	negative	1
emphatically	negative	1
empower	positive	0.25
empowered	positive	0.25
empowering	positive	0.25
empowerment	positive	0.25
empowerments	positive	0.25
empowers	positive	0.25
emptier	negative	0.25
emptiest	negative	0.25
emptiness	negative	1
empty	negative	0.25
enable	positive	0.25
enabled	positive	0.25
enables	positive	0.25
enabling	positive	0.25
enchant	positive	1
enchanted	positive	1
enchanting	positive	1
enchantingly	positive	1
enchants	positive	1
encourage	positive	0.25
encouraged	positive	0.25
encouragement	positive	1
encouragements	positive	1
encourages	positive	0.25
encouraging	positive	1
encouragingly	positive	1
encroach	negative	0.25
encroached	negative	0.25
encroaches	negative	0.25
encroaching	negative	0.25
encroachment	negative	0.25
encroachments	negative	0.25
endanger	negative	1
endangered	negative	1
endangering	negative	1
endangers	negative	1
endear	positive	1
endeared	positive	1
endearing	positive	1
endears	positive	1
endless	negative	0.25
endorse	positive	1
endorsed	positive	1
endorsement	positive	1
endorsements	positive	1
endorser	positive	1
endorsers	positive	1
endorses	positive	1
endorsing	positive	1
endurable	positive	1
endure	positive	1
endured	positive	1
endures	positive	1
enduring	positive	1
enemies	negative	0.25
enemy	negative	0.25
energetic	positive	0.25
energize	positive	0.25
energized	positive	0.25
energizes	positive	0.25
energizing	positive	0.25
enervate	negative	1
enervated	negative	1
enervates	negative	1
enervating	negative	1
enfeeble	negative	1
enfeebled	negative	1
enfeebles	negative	1
enfeebling	negative	1
enflame	negative	1
enflamed	negative	1
enflames	negative	1
enflaming	negative	1
engaging	positive	1
engross	positive	1
engrossed	positive	1
engrosses	positive	1
engrossing	positive	1
engulf	negative	0.25
engulfed	negative	0.25
engulfing	negative	0.25
engulfs	negative	0.25
enhance	positive	0.25
enhanced	positive	0.25
enhancement	positive	0.25
enhancements	positive	0.25
enhances	positive	0.25
enhancing	positive	0.25
enjoin	negative	1
